episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,value_loss,entropy,adv_mean,grad_norm
3,-163.4757537841797,-271.33360290527344,86,858.0672607421875,0.0003,1,a2c_lr_opt_seed1,-23.126008987426758,1762.389404296875,1.3848929405212402,-16.687557220458984,46.29287338256836
8,-121.76776123046875,-182.03458404541016,128,539.2003784179688,0.0003,1,a2c_lr_opt_seed1,-32.09324264526367,1142.590087890625,1.3849244117736816,-23.268037796020508,46.916324615478516
8,-121.76776123046875,-182.03458404541016,128,135.31358337402344,0.0003,1,a2c_lr_opt_seed1,-14.689844131469727,300.0096435546875,1.3851072788238525,-10.588858604431152,23.596569061279297
10,-168.37826538085938,-192.27215270996095,85,642.787109375,0.0003,1,a2c_lr_opt_seed1,-11.339483261108398,1308.2559814453125,1.384830117225647,-8.152608871459961,19.183013916015625
15,-273.75201416015625,-195.07561848958332,82,883.712890625,0.0003,1,a2c_lr_opt_seed1,-31.06112289428711,1829.55078125,1.3847439289093018,-22.49683380126953,48.16520309448242
17,-126.41178894042969,-184.25236600988052,77,311.50494384765625,0.0003,1,a2c_lr_opt_seed1,-23.96622085571289,670.945068359375,1.3848276138305664,-17.361955642700195,34.57158279418945
18,-199.40420532226562,-185.09413486056857,113,307.52105712890625,0.0003,1,a2c_lr_opt_seed1,-13.676003456115723,642.3968505859375,1.3849244117736816,-9.754323959350586,25.90394401550293
23,-64.12939453125,-187.37222820779553,107,710.1409301757812,0.0003,1,a2c_lr_opt_seed1,-28.55620574951172,1477.3970947265625,1.3847582340240479,-20.57445526123047,56.6339225769043
24,-185.40399169921875,-187.29021835327148,95,56.56224822998047,0.0003,1,a2c_lr_opt_seed1,-6.707749366760254,126.54276275634766,1.385036826133728,-4.84282922744751,11.711573600769043
28,-94.96089935302734,-178.57324436732702,82,776.6197509765625,0.0003,1,a2c_lr_opt_seed1,-29.94881248474121,1613.139892578125,1.3844257593154907,-21.576507568359375,52.194095611572266
31,-120.0431900024414,-178.0969021704889,97,282.0455017089844,0.0003,1,a2c_lr_opt_seed1,-16.35464096069336,596.8030395507812,1.384788155555725,-11.759944915771484,26.4047908782959
32,-113.65971374511719,-176.08324003219604,117,152.46731567382812,0.0003,1,a2c_lr_opt_seed1,-13.209583282470703,331.3565673828125,1.3848644495010376,-9.52906608581543,22.384624481201172
38,-199.8549041748047,-173.22469550684878,96,1022.320068359375,0.0003,1,a2c_lr_opt_seed1,-46.993106842041016,2138.629150390625,1.3842334747314453,-34.0515251159668,85.19850158691406
39,-254.6129913330078,-175.3115748870067,94,123.8851089477539,0.0003,1,a2c_lr_opt_seed1,-11.575825691223145,270.9246520996094,1.3848015069961548,-8.249773979187012,20.63800811767578
