episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,value_loss,entropy,adv_mean,grad_norm
8,-121.76776123046875,-182.03458404541016,128,1117.222900390625,0.0001,1,a2c_opt2_seed1,-36.75530242919922,1648.541259765625,1.3851135969161987,-26.63018798828125,80.01464080810547
12,-132.13699340820312,-187.74098205566406,60,898.4385375976562,0.0001,1,a2c_opt2_seed1,-36.73945999145508,1335.969482421875,1.3853211402893066,-26.458717346191406,81.07167053222656
20,-110.27604675292969,-184.4989200592041,65,1178.2666015625,0.0001,1,a2c_opt2_seed1,-37.85060501098633,1737.311279296875,1.3853482007980347,-27.359424591064453,80.16215515136719
26,-287.191650390625,-177.80109170766977,72,991.1337890625,0.0001,1,a2c_opt2_seed1,-35.516048431396484,1466.6435546875,1.3853379487991333,-25.672788619995117,81.04753875732422
31,-144.72476196289062,-175.03733308853643,74,696.5738525390625,0.0001,1,a2c_opt2_seed1,-28.996986389160156,1036.53076171875,1.3853906393051147,-20.94837760925293,60.96788787841797
36,-90.53768157958984,-167.58322779337564,86,556.5057373046875,0.0001,1,a2c_opt2_seed1,-25.559730529785156,831.5231323242188,1.3853650093078613,-18.56730842590332,56.79990005493164
42,-100.10808563232422,-169.6329875219436,66,1021.9151611328125,0.0001,1,a2c_opt2_seed1,-32.53316879272461,1506.355712890625,1.3852252960205078,-23.514415740966797,77.09867858886719
46,-139.95672607421875,-164.44147250963294,95,773.9102783203125,0.0001,1,a2c_opt2_seed1,-20.96226692199707,1135.533203125,1.385414958000183,-15.009040832519531,46.17709732055664
52,-85.77558898925781,-154.97568702697754,71,523.2779541015625,0.0001,1,a2c_opt2_seed1,-21.456039428710938,778.1924438476562,1.3852564096450806,-15.563895225524902,47.6878547668457
57,-96.2342300415039,-152.61255935668945,89,451.6584167480469,0.0001,1,a2c_opt2_seed1,-23.089462280273438,678.2122802734375,1.3854053020477295,-16.650283813476562,50.83743667602539
64,-132.28475952148438,-139.91722900390624,107,774.868408203125,0.0001,1,a2c_opt2_seed1,-26.837940216064453,1145.2957763671875,1.3853156566619873,-19.358814239501953,62.93022918701172
71,-95.24362182617188,-142.24434814453124,81,725.5933837890625,0.0001,1,a2c_opt2_seed1,-29.33401870727539,1078.46875,1.3853163719177246,-21.142995834350586,70.28196716308594
