episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,epsilon,buffer_size,mean_q
1,-100.5340563809809,-100.5340563809809,90,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.999,90,0.0
2,-267.6832331306823,-184.10864475583162,93,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.998001,183,0.0
3,-300.60458885089656,-222.94062612085327,109,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.997002999,292,0.0
4,-271.76296932501054,-235.1462119218926,124,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.996005996001,416,0.0
5,-249.102077472747,-237.93738503206345,106,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.995009990004999,522,0.13537254929542542
6,-96.2129067258746,-214.31663864769862,78,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.994014980014994,600,0.0
7,-225.5059913158388,-215.9151176002901,68,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.993020965034979,668,0.0
8,-365.19319914466865,-234.5748777933374,91,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.9920279440699441,759,0.0
9,-129.4178082797497,-222.89075895849433,109,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.9910359161258742,868,0.0
10,-235.0686226426981,-224.10854532691474,86,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.9900448802097482,954,0.07368743047118187
11,-212.3319121327042,-223.03794230925922,74,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.9890548353295385,1028,0.058831676840782166
12,-219.22776623144188,-222.72042763610776,76,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.988065780494209,1104,0.0
13,-140.67271055499785,-216.4090647837147,113,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.9870777147137147,1217,0.10096902151902516
14,-136.77354118672702,-210.7208130982156,123,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.986090636999001,1340,0.08000527322292328
15,-255.31184296769632,-213.69354842284764,102,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.9851045463620021,1442,0.10315712168812752
16,-216.52012379337566,-213.87020938350565,136,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.98411944181564,1578,0.07657714188098907
17,-394.2505619383469,-224.48081835731983,100,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.9831353223738244,1678,0.04354245960712433
18,-123.57674515701915,-218.87503651285869,86,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.9821521870514506,1764,0.0563279464840889
19,-233.45264999853532,-219.6422793278943,76,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.9811700348643991,1840,0.0
20,38.134070606330084,-206.75346183118307,74,0.0,0.001,1,dqn_epsilon_decay_high_seed1,0.9801888648295347,1914,0.06622941046953201
21,-76.59032745028793,-200.55521733685475,86,108.42366790771484,0.001,1,dqn_epsilon_decay_high_seed1,0.9792086759647052,2000,0.06414724886417389
22,-304.4848689185908,-205.27929240875184,87,136.24126583406294,0.001,1,dqn_epsilon_decay_high_seed1,0.9782294672887405,2087,-0.5222852826118469
23,-140.10289382324828,-202.44553594851257,56,130.07457679510117,0.001,1,dqn_epsilon_decay_high_seed1,0.9772512378214517,2143,-1.1875022649765015
24,-202.6013634141909,-202.4520287595825,126,106.18423698818873,0.001,1,dqn_epsilon_decay_high_seed1,0.9762739865836303,2269,-0.10146429762244225
25,-156.41406755122705,-200.61051031124828,89,84.7007458986861,0.001,1,dqn_epsilon_decay_high_seed1,0.9752977125970467,2358,-2.4154739379882812
26,-373.12573140722236,-207.24571112263192,99,86.63701386644382,0.001,1,dqn_epsilon_decay_high_seed1,0.9743224148844496,2457,-2.138892412185669
27,-272.1212122010897,-209.64850745887108,61,76.0689887218788,0.001,1,dqn_epsilon_decay_high_seed1,0.9733480924695651,2518,0.0
28,-163.36421612541943,-207.99549705410496,100,55.007210841178896,0.001,1,dqn_epsilon_decay_high_seed1,0.9723747443770956,2618,0.0
29,-175.65754645111053,-206.8803953091741,72,68.1126403576798,0.001,1,dqn_epsilon_decay_high_seed1,0.9714023696327185,2690,-0.2178480550646782
30,-73.904888218769,-202.4478784061606,75,65.58499265670777,0.001,1,dqn_epsilon_decay_high_seed1,0.9704309672630859,2765,4.271062692006429
31,-76.97124732229364,-198.4002451453907,133,47.41912529432684,0.001,1,dqn_epsilon_decay_high_seed1,0.9694605362958227,2898,4.694147666295369
32,-132.4568087907772,-196.33951275930903,69,57.24365876723027,0.001,1,dqn_epsilon_decay_high_seed1,0.9684910757595269,2967,0.0
33,-146.28349250173312,-194.8226636605946,77,49.91705031828447,0.001,1,dqn_epsilon_decay_high_seed1,0.9675225846837673,3044,0.7201585939952305
34,-104.9972153889306,-192.180738711428,76,46.019463203455274,0.001,1,dqn_epsilon_decay_high_seed1,0.9665550620990835,3120,-0.0903000036875407
35,-101.96035450231625,-189.60301344831055,139,47.3370710842901,0.001,1,dqn_epsilon_decay_high_seed1,0.9655885070369844,3259,1.3027454257011413
36,-108.78141682990183,-187.35796909779918,73,45.669410294049406,0.001,1,dqn_epsilon_decay_high_seed1,0.9646229185299474,3332,-21.53801383972168
37,-173.3161463723951,-186.97846037549098,101,46.941305174685944,0.001,1,dqn_epsilon_decay_high_seed1,0.9636582956114175,3433,3.3490905265013375
38,-115.08254632642894,-185.08646263735778,66,41.29189050016981,0.001,1,dqn_epsilon_decay_high_seed1,0.9626946373158061,3499,15.32712459564209
39,-80.81934534691845,-182.4129468093978,65,47.746931292460516,0.001,1,dqn_epsilon_decay_high_seed1,0.9617319426784903,3564,17.23182773590088
40,-219.9786532219302,-183.3520894697111,92,40.65497467828833,0.001,1,dqn_epsilon_decay_high_seed1,0.9607702107358118,3656,-2.415858507156372
41,-191.9866495266477,-183.56268849549005,117,47.4191397581345,0.001,1,dqn_epsilon_decay_high_seed1,0.959809440525076,3773,-8.845804595947266
42,-235.8299044431664,-184.80714601805377,80,38.55292759537697,0.001,1,dqn_epsilon_decay_high_seed1,0.9588496310845509,3853,-18.654371231794357
43,-141.4373090392019,-183.79854515808046,125,41.65981459903717,0.001,1,dqn_epsilon_decay_high_seed1,0.9578907814534664,3978,9.718499493598937
44,-289.8340815176762,-186.20844371170767,89,36.95472215802482,0.001,1,dqn_epsilon_decay_high_seed1,0.9569328906720129,4067,-0.8240907192230225
45,-23.85859405481463,-182.60066927488782,64,41.996421325951815,0.001,1,dqn_epsilon_decay_high_seed1,0.9559759577813409,4131,14.208818674087524
46,-19.243306096412567,-179.0494222492688,150,37.85686306476593,0.001,1,dqn_epsilon_decay_high_seed1,0.9550199818235596,4281,-0.2184530794620514
47,-85.0724887324555,-177.0499130255068,86,35.519819620043734,0.001,1,dqn_epsilon_decay_high_seed1,0.9540649618417361,4367,8.01086163520813
48,-304.607758788521,-179.7073681455696,92,38.63593067552733,0.001,1,dqn_epsilon_decay_high_seed1,0.9531108968798944,4459,-18.087377707163494
49,-150.38078051713583,-179.10886635723423,63,33.632356757209415,0.001,1,dqn_epsilon_decay_high_seed1,0.9521577859830145,4522,1.974132776260376
50,-129.05745625945318,-178.1078381552786,102,36.65280931486803,0.001,1,dqn_epsilon_decay_high_seed1,0.9512056281970315,4624,5.254533926645915
51,-62.92803453402537,-177.35571771833946,71,28.80915393124164,0.001,1,dqn_epsilon_decay_high_seed1,0.9502544225688344,4695,15.375437915325165
52,-113.7487823841901,-174.2770287034096,102,37.28139637615166,0.001,1,dqn_epsilon_decay_high_seed1,0.9493041681462656,4797,7.456593195597331
53,-231.40834717255197,-172.89310386984272,75,33.6593900458018,0.001,1,dqn_epsilon_decay_high_seed1,0.9483548639781193,4872,12.377019882202148
54,-266.11106104260125,-172.78006570419456,91,30.879719229844902,0.001,1,dqn_epsilon_decay_high_seed1,0.9474065091141411,4963,3.5161558389663696
55,-134.85932269395866,-170.4952106086188,65,38.71206234785227,0.001,1,dqn_epsilon_decay_high_seed1,0.946459102605027,5028,-0.2390522003173828
56,-195.08403978017253,-172.47263326970474,123,37.1552136690636,0.001,1,dqn_epsilon_decay_high_seed1,0.9455126435024219,5151,3.152221305029733
57,-214.19632354678265,-172.2464399143236,83,37.50028255474137,0.001,1,dqn_epsilon_decay_high_seed1,0.9445671308589195,5234,-11.553013503551483
58,-119.4411269952335,-167.3313984713349,91,27.017863595878683,0.001,1,dqn_epsilon_decay_high_seed1,0.9436225637280606,5325,3.896226406097412
59,-107.05110168027605,-166.88406433934543,111,25.07660240525598,0.001,1,dqn_epsilon_decay_high_seed1,0.9426789411643326,5436,11.450679500897726
60,-272.89364185072577,-167.64056472350595,91,39.838925835850475,0.001,1,dqn_epsilon_decay_high_seed1,0.9417362622231683,5527,-3.30538170337677
61,-104.69256319867016,-165.48777774482525,82,38.74639792849378,0.001,1,dqn_epsilon_decay_high_seed1,0.9407945259609451,5609,14.913451194763184
62,-93.68029690927595,-162.97682835838197,86,34.7495421670204,0.001,1,dqn_epsilon_decay_high_seed1,0.9398537314349842,5695,17.315184235572815
63,-170.10578195077412,-163.56548978629746,66,41.52244868422999,0.001,1,dqn_epsilon_decay_high_seed1,0.9389138777035492,5761,5.0014000336329145
64,-166.34394258480285,-164.156897814259,99,40.218146892509075,0.001,1,dqn_epsilon_decay_high_seed1,0.9379749638258457,5860,6.6857335567474365
65,-251.39413869883847,-164.0785437288818,112,36.48961911563362,0.001,1,dqn_epsilon_decay_high_seed1,0.9370369888620198,5972,-5.616294991970062
66,-223.74946259622934,-164.2231305049389,127,40.56022467575674,0.001,1,dqn_epsilon_decay_high_seed1,0.9360999518731578,6099,5.880423265695572
67,-114.64635231926144,-158.6310463125572,80,35.88951711058617,0.001,1,dqn_epsilon_decay_high_seed1,0.9351638519212846,6179,-2.3352410793304443
68,-208.0297807959085,-160.32010702533498,97,38.263609555578725,0.001,1,dqn_epsilon_decay_high_seed1,0.9342286880693633,6276,1.8683270931243896
69,-81.23594729825726,-157.27577297132942,63,36.31104311488924,0.001,1,dqn_epsilon_decay_high_seed1,0.933294459381294,6339,31.306507110595703
70,-114.97949105522018,-160.33804420456042,107,37.1165937686635,0.001,1,dqn_epsilon_decay_high_seed1,0.9323611649219127,6446,8.244875621795654
71,-121.1192849494393,-161.22862335454346,98,42.44896269574457,0.001,1,dqn_epsilon_decay_high_seed1,0.9314288037569908,6544,-8.819451498985291
72,-209.32794499985914,-159.3254848761688,132,37.59186750469786,0.001,1,dqn_epsilon_decay_high_seed1,0.9304973749532338,6676,-9.446651363372803
73,-171.75581768890882,-159.958543353482,131,35.06421987701008,0.001,1,dqn_epsilon_decay_high_seed1,0.9295668775782806,6807,-26.83772954940796
74,-84.18202017176394,-157.59015648863348,71,31.175463515268245,0.001,1,dqn_epsilon_decay_high_seed1,0.9286373107007023,6878,9.961105823516846
75,-97.5646160790063,-156.41316745918905,74,35.90184421474869,0.001,1,dqn_epsilon_decay_high_seed1,0.9277086733900016,6952,25.123556327819824
76,-138.27882582862304,-151.7162293476171,71,26.018994279310736,0.001,1,dqn_epsilon_decay_high_seed1,0.9267809647166116,7023,19.254321575164795
77,-94.53186680941894,-148.16444243978367,124,26.960452910392515,0.001,1,dqn_epsilon_decay_high_seed1,0.925854183751895,7147,23.28944471147325
78,-167.9797521201801,-148.25675315967888,55,32.08894091085954,0.001,1,dqn_epsilon_decay_high_seed1,0.9249283295681431,7202,-14.3324951171875
79,14.18417806594232,-144.4599186693378,100,33.90726599574089,0.001,1,dqn_epsilon_decay_high_seed1,0.9240034012385749,7302,13.24772236082289
80,-103.04742036176019,-145.04276931219766,175,30.786248648507254,0.001,1,dqn_epsilon_decay_high_seed1,0.9230793978373364,7477,7.8283171912034355
81,-97.00526241324475,-145.44344961401669,57,41.10780939302946,0.001,1,dqn_epsilon_decay_high_seed1,0.9221563184394991,7534,20.222253799438477
82,-119.14761149518009,-145.17726566810475,101,33.431092035652384,0.001,1,dqn_epsilon_decay_high_seed1,0.9212341621210596,7635,2.5702059268951416
83,-108.6038320205006,-144.4236724584801,74,35.69654966045071,0.001,1,dqn_epsilon_decay_high_seed1,0.9203129279589385,7709,24.016104062398274
84,-174.63675926256604,-145.81646333595282,127,33.62581020077383,0.001,1,dqn_epsilon_decay_high_seed1,0.9193926150309796,7836,24.065597343444825
85,-97.38762368852919,-145.72500871967705,78,33.02659566127337,0.001,1,dqn_epsilon_decay_high_seed1,0.9184732224159486,7914,-0.5467344522476196
86,-92.2528680327012,-145.39443774373302,60,32.99676772753398,0.001,1,dqn_epsilon_decay_high_seed1,0.9175547491935327,7974,-3.0252695083618164
87,-70.13457432455067,-143.33080630277615,80,35.12514481842518,0.001,1,dqn_epsilon_decay_high_seed1,0.9166371944443392,8054,6.281895637512207
88,-98.03355636725095,-142.98982650359258,76,29.822475593341025,0.001,1,dqn_epsilon_decay_high_seed1,0.9157205572498949,8130,-6.045328736305237
89,-138.55299858735162,-144.14449956840127,98,26.760286174258407,0.001,1,dqn_epsilon_decay_high_seed1,0.914804836692645,8228,2.0564846140997752
