episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,epsilon,buffer_size,mean_q
1,-100.5340563809809,-100.5340563809809,90,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.99,90,0.0
2,-288.22207482502967,-194.37806560300527,95,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.9801,185,0.06229552626609802
3,-265.82532677296155,-218.19381932632405,116,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.9702989999999999,301,0.21292877197265625
4,-105.1059359828794,-189.92184849046288,131,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.96059601,432,0.06414019409567118
5,-255.22803419863237,-202.9830856320968,107,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.9509900498999999,539,0.09714324710269769
6,-108.67490633206044,-187.2650557487574,76,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.9414801494009999,615,0.05512189492583275
7,-251.31596806183737,-196.41518607919738,67,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.9320653479069899,682,0.10533981863409281
8,-378.2642926585698,-219.14632440161893,96,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.92274469442792,778,0.12988810241222382
9,-112.907862240203,-207.34205082812827,109,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.9135172474836407,887,0.08420473124299731
10,-99.91811652814599,-196.59965739813003,67,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.9043820750088043,954,0.07266263365745544
11,-253.75460329982488,-201.7955615710114,76,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.8953382542587163,1030,0.10014940487841766
12,-229.61630930025166,-204.11395721511474,78,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.8863848717161291,1108,0.09220302518871096
13,-330.0776258796295,-213.80347018930817,117,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.8775210229989678,1225,0.05442981763432423
14,-139.16682049382547,-208.47228092534513,111,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.8687458127689781,1336,0.06639876503210801
15,-394.3628340319258,-220.86498446578383,112,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.8600583546412883,1448,0.13651853829622268
16,-286.53034985668853,-224.96906980271538,108,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.8514577710948754,1556,0.11521453371173457
17,-362.5528838720559,-233.06223533620602,101,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.8429431933839266,1657,0.06383816339075565
18,-126.02283420190483,-227.11560193985596,81,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.8345137614500874,1738,0.07731685630585018
19,-82.56934160571814,-219.5079040275329,61,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.8261686238355865,1799,0.08740654028952122
20,-149.07850736601318,-215.98643419445693,73,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.8179069375972307,1872,0.08371712937951088
21,-101.84143741426195,-210.5509581573048,72,0.0,0.001,1,dqn_epsilon_decay_low_seed1,0.8097278682212583,1944,0.06870258574684461
22,-176.29263462760844,-208.99376163322768,91,131.72273763020834,0.001,1,dqn_epsilon_decay_low_seed1,0.8016305895390458,2035,-0.08065342944529322
23,-90.3851600156748,-203.83686591072538,53,128.9504727057691,0.001,1,dqn_epsilon_decay_low_seed1,0.7936142836436553,2088,-1.7211234370867412
24,-277.16101943052183,-206.89203897405025,102,116.0549354950587,0.001,1,dqn_epsilon_decay_low_seed1,0.7856781408072188,2190,-1.214200163880984
25,-181.27323866036807,-205.86728696150297,112,87.54355228372982,0.001,1,dqn_epsilon_decay_low_seed1,0.7778213593991465,2302,-1.8329567637463862
26,-395.6326955122967,-213.1659565211489,94,72.16687585191524,0.001,1,dqn_epsilon_decay_low_seed1,0.7700431458051551,2396,-4.6762766018509865
27,-82.28315619519961,-208.3184453979656,79,71.37994581234607,0.001,1,dqn_epsilon_decay_low_seed1,0.7623427143471035,2475,-2.6350346628357384
28,-343.50773080970606,-213.1466341626706,99,59.27620233429803,0.001,1,dqn_epsilon_decay_low_seed1,0.7547192872036325,2574,-8.006717906278723
29,-151.7204283533904,-211.02848913476438,99,45.78305000608618,0.001,1,dqn_epsilon_decay_low_seed1,0.7471720943315961,2673,-1.5429040924424218
30,-146.2368733548558,-208.86876860876743,106,51.28152989329032,0.001,1,dqn_epsilon_decay_low_seed1,0.7397003733882802,2779,-0.48858703415969323
31,-218.82867756897093,-209.19005599458046,131,38.97365899304397,0.001,1,dqn_epsilon_decay_low_seed1,0.7323033696543974,2910,-1.5982453961623833
32,-186.2403587992676,-208.47287795722693,69,38.550434100455135,0.001,1,dqn_epsilon_decay_low_seed1,0.7249803359578534,2979,-1.550722336396575
33,-189.85235229628486,-207.90861960386505,89,36.32452283012733,0.001,1,dqn_epsilon_decay_low_seed1,0.7177305325982748,3068,-5.654941474686244
34,-160.2736185219016,-206.5075901602779,107,35.99910695084902,0.001,1,dqn_epsilon_decay_low_seed1,0.7105532272722921,3175,1.8852201364934444
35,-89.74348204184894,-203.17147278546565,127,37.83226879375187,0.001,1,dqn_epsilon_decay_low_seed1,0.7034476949995692,3302,0.8834048281113307
36,-22.61235152330144,-198.1559416392944,118,33.54836933895693,0.001,1,dqn_epsilon_decay_low_seed1,0.6964132180495735,3420,-1.338804068890485
37,-81.10201056771355,-194.99232188060304,106,35.873443994881974,0.001,1,dqn_epsilon_decay_low_seed1,0.6894490858690777,3526,2.9557491747232585
38,-148.41099420250026,-193.7664974680214,103,35.46437641023432,0.001,1,dqn_epsilon_decay_low_seed1,0.682554595010387,3629,-2.9643807829387727
39,-93.7287194650784,-191.2014262371767,81,32.698855576691805,0.001,1,dqn_epsilon_decay_low_seed1,0.6757290490602831,3710,-0.31327868359429495
40,-100.54508840256749,-188.93501779131148,167,31.62586431660338,0.001,1,dqn_epsilon_decay_low_seed1,0.6689717585696803,3877,1.6243416197219138
41,-78.50485445190752,-186.24159917327722,141,27.663065014156043,0.001,1,dqn_epsilon_decay_low_seed1,0.6622820409839835,4018,1.8082051147829812
42,-68.64401956819928,-183.44165680172776,138,32.248605907827184,0.001,1,dqn_epsilon_decay_low_seed1,0.6556592205741436,4156,-3.2741543551286063
