episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,epsilon,buffer_size,mean_q
1,-100.5340563809809,-100.5340563809809,90,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.995,90,0.0
2,-288.22207482502967,-194.37806560300527,95,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.990025,185,0.062295518815517426
3,-266.78598970006976,-218.51404030202676,116,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.985074875,301,0.0
4,-90.64041429950741,-186.54563380139692,134,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.9801495006250001,435,0.0638129711151123
5,-283.23554686117177,-205.88361641335186,100,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.9752487531218751,535,0.08009887859225273
6,-108.85932905035982,-189.71290185285318,79,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.9703725093562657,614,0.06022639945149422
7,-217.60702915795315,-193.69777718215317,68,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.9655206468094844,682,0.11576820413271587
8,-355.059919926813,-213.86804502523563,99,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.960693043575437,781,0.10785810649394989
9,-272.8516337662803,-220.42177710757394,106,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.9558895783575597,887,0.09729369357228279
10,5.06867028624913,-197.87273236819163,82,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.9511101304657719,969,0.06124207228422165
11,-194.65728242174632,-197.58041873669663,73,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.946354579813443,1042,0.09815404812494914
12,-246.1928178401068,-201.63145199531414,74,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.9416228069143757,1116,0.09613645542412996
13,-156.0997306073686,-198.1290118885491,115,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.9369146928798039,1231,0.07625834768017133
14,-91.53451885393979,-190.51511952893415,118,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.9322301194154049,1349,0.07601247727870941
15,-113.88959158289892,-185.40675099919847,100,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.9275689688183278,1449,0.07045164060863582
16,-115.14367261333793,-181.0153086000822,118,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.9229311239742362,1567,0.07463393298288186
17,-198.64107483940546,-182.0521183788659,101,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.918316468354365,1668,0.0716168037192388
18,-125.66685652775104,-178.91960383158175,98,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.9137248860125932,1766,0.06355354165037473
19,-136.85923289001175,-176.70590009781492,60,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.9091562615825302,1826,0.0841021505849702
20,-369.33409396221543,-186.33730979103493,66,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.9046104802746175,1892,0.0707075900087754
21,-133.67324000899413,-183.82949694427109,72,0.0,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.9000874278732445,1964,0.06656828788774354
22,-123.99198715298814,-181.10961013557642,96,120.92325082763297,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8955869907338783,2060,-0.25427960066331756
23,-77.38962624532071,-176.6000456186088,63,97.12138506344387,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8911090557802088,2123,-0.23242653906345367
24,-419.971367513596,-186.74051736423326,120,104.64688282807668,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8866535105013078,2243,-1.4984571683619703
25,-158.55617779009694,-185.61314378126778,112,64.98130922658103,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8822202429488013,2355,0.34094267232077463
26,-354.9985118675596,-192.12796563074056,97,65.85615400678104,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8778091417340573,2452,-0.20402604155242443
27,44.08801629155164,-183.37922555954452,79,62.840861432160004,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8734200960253871,2531,-5.109165221452713
28,-193.6202730796692,-183.74497725669184,119,50.85329325459585,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8690529955452602,2650,-0.7236227093574902
29,-153.24538581698408,-182.69326720704674,92,46.7745789108069,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8647077305675338,2742,1.2125788563862443
30,-198.6295723421909,-183.2244773782182,76,50.84825406576458,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8603841919146962,2818,-3.70260844447396
31,-124.09644503762514,-181.3171214962636,137,44.42355630345588,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8560822709551227,2955,2.4795506820082664
32,-165.01819900401057,-180.8077801683807,80,46.72829153239727,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.851801859600347,3035,-1.7662935394507189
33,-166.2963777685615,-180.36804070171954,80,46.318392446637155,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8475428503023453,3115,1.674457159909335
34,-106.88333519847345,-178.20672583397698,70,42.62836828572409,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8433051360508336,3185,5.195410230507453
35,-117.11841870031421,-176.46134563015806,167,49.261066486735544,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8390886103705794,3352,2.4346036859180615
36,-128.2114717454091,-175.12107135558168,89,57.37992826472507,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8348931673187264,3441,-3.352359313231248
37,-87.70317893780741,-172.75842561456074,103,42.1824337602819,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8307187014821328,3544,3.1369387110074363
38,-111.48449447459944,-171.1459537424565,98,34.69452783282922,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8265651079747222,3642,-2.3876288670759935
39,-63.62981257554328,-168.38912960997155,66,30.79541866165219,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8224322824348486,3708,-0.5748500823974609
40,-222.81507319253478,-169.7497781995356,92,36.051228590633556,0.001,1,dqn_epsilon_decay_stepstest_seed1,0.8183201210226743,3800,-14.964503325521946
