episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,epsilon,buffer_size,mean_q
1,-100.5340563809809,-100.5340563809809,90,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.99999186,90,0.0
2,-267.6832331306823,-184.10864475583162,93,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9999837200662595,183,0.0
3,-300.60458885089656,-222.94062612085327,109,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9999755801987781,292,0.0
4,-271.76296932501054,-235.1462119218926,124,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9999674403975553,416,0.0
5,-249.33201601445916,-237.9833727404059,106,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9999593006625904,522,0.0
6,-127.24759474517157,-219.52740974120016,78,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999951160993883,600,0.0
7,-212.85769720852028,-218.57459366510304,68,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9999430213914325,668,0.0
8,-389.70488163984277,-239.9658796619455,95,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9999348818552384,763,0.0
9,-103.96656157781044,-224.85484431926383,108,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9999267423853,871,0.0
10,-217.43438632014022,-224.11279851935146,94,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9999186029816169,965,0.0
11,-187.31768864882872,-220.7677885311221,76,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9999104636441887,1041,0.0
12,-310.69409183597327,-228.26164713985972,98,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9999023243730145,1139,0.0
13,-127.44490247025135,-220.50651293450522,112,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999894185168094,1251,0.0
14,-198.89248914018387,-218.9626540920537,118,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9998860460294268,1369,0.0
15,-139.3977184757318,-213.65832505096557,103,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9998779069570121,1472,0.0
16,-160.07371545804614,-210.3092869514081,123,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9998697679508494,1595,0.0
17,-402.8969180134419,-221.63797113152773,88,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9998616290109382,1683,0.0
18,-88.21801784827473,-214.22575150468035,85,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999853490137278,1768,0.0
19,-171.1709992035843,-211.95971190988584,60,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9998453513298682,1828,0.0
20,-111.9667358465563,-206.96006310671936,62,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9998372125887083,1890,0.0
21,-125.75750854614054,-203.09327479431084,91,0.0,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9998290739137977,1981,0.0
22,-356.3853375432415,-210.06109582835316,87,119.86786044162253,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999820935305136,2068,0.0
23,-76.07579108494599,-204.23564779603112,56,109.29377661432538,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9998127967627226,2124,0.0
24,-118.7251322406799,-200.67270964789148,118,88.05949759685387,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999804658286557,2242,0.0
25,-104.42511635622759,-196.82280591622492,90,97.81904768943787,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9997965198766384,2332,0.0
26,-346.33286839199593,-202.57319293452383,100,80.66195616483688,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9997883815329666,2432,0.0
27,-272.1212122010897,-205.1490454999522,61,71.02582825989019,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9997802432555408,2493,0.0
28,-163.36421612541943,-203.65673016514742,100,62.9312571811676,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9997721050443606,2593,0.0
29,-143.73069650326562,-201.59031521128944,70,59.288091026033676,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9997639668994256,2663,1.7484173774719238
30,-65.55032509290652,-197.05564887401002,71,66.84371946563184,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999755828820735,2734,0.0
31,-70.78777140131449,-192.98249153618116,125,50.602229417800906,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9997476908082883,2859,0.0
32,-132.1107800721856,-191.0802505529313,70,47.49537947518485,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999739552862085,2929,0.0
33,-138.3084090718846,-189.48110384138442,74,55.95659718964551,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9997314149821247,3003,0.0
34,8.03884447607274,-183.67169359675333,93,47.881532794685775,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9997232771684067,3096,0.0
35,-105.13072015415086,-181.42766578410755,136,46.27589198946953,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9997151394209305,3232,0.0
36,-102.58496804355485,-179.23759084686998,73,46.164966361163415,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9997070017396955,3305,0.0
37,-97.06101177743848,-177.01660222337185,95,38.25389877244046,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996988641247013,3400,0.0
38,-174.10928017017375,-176.94009374828767,69,38.57149143840956,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996907265759473,3469,0.0
39,-89.80598941618874,-174.70588594490053,59,46.38991106162637,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996825890934329,3528,0.0
40,-139.3043761977533,-173.82084820122185,88,41.30512693524361,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996744516771576,3616,0.0
41,-153.46449130269545,-173.32435169150168,112,41.68608037914549,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996663143271209,3728,0.0
42,-212.5581538667885,-174.2584898385323,83,36.03958247943097,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996581770433223,3811,0.0
43,-287.4979911893932,-176.89196661413374,98,34.64755836554936,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996500398257611,3909,0.0
44,-251.24903122228724,-178.58189990068266,87,35.505599139750686,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996419026744369,3996,0.0
45,-87.55965702685505,-176.5591833923754,57,28.790629123386584,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999633765589349,4053,0.0
46,-355.56571293518084,-180.45062968678423,140,29.73408752168928,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996256285704971,4193,0.0
47,-103.41125367409276,-178.8114940269397,77,29.618042693509683,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996174916178805,4270,0.0
48,-325.4151249831019,-181.8657363385264,91,27.44958105585077,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996093547314987,4361,0.0
49,20.529445355790486,-177.73522242639748,80,31.972874338924886,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996012179113511,4441,0.0
50,-29.84092758872994,-174.77733652964412,109,32.97220445991656,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995930811574373,4550,0.0
51,-392.8862571758432,-180.62438054554136,88,26.988505294377152,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995849444697567,4638,0.0
52,-309.1964492062486,-181.45464486705274,123,51.639383358684015,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995768078483086,4761,0.0
53,-154.46412081112356,-178.53183550625727,61,49.26320336685806,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995686712930927,4822,0.0
54,-317.98731560178464,-179.45632243179273,95,50.71251653872038,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995605348041083,4917,0.0
55,-74.87332821433745,-175.9671486757903,63,43.84124720285809,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999552398381355,4980,0.0
56,-398.3577735227058,-181.389352251341,90,58.60815728240543,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995442620248322,5070,0.0
57,-126.97044115598781,-179.6716071302903,76,53.85067321438538,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995361257345392,5146,0.0
58,-153.28020625983402,-174.94311362269013,89,46.96451685133945,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995279895104757,5235,0.0
59,-124.9150709650531,-175.362083810435,97,51.30256281439791,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999519853352641,5332,0.0
60,-297.04413057347097,-176.95427869550159,109,56.62202108453173,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995117172610347,5441,0.0
61,-119.64112706540176,-175.60074746383307,75,56.36701404253642,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995035812356562,5516,0.0
62,-84.85925433198946,-171.0840507137534,92,66.64030510187149,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994954452765049,5608,0.0
63,-78.92730738842195,-170.1136988121168,67,58.716100493473796,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994873093835803,5675,0.0
64,-324.9928630823383,-172.6357062909599,100,59.880982047319414,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994791735568819,5775,0.0
65,-114.00709064137865,-172.12789373427285,117,60.87519113426534,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994710377964091,5892,0.0
66,-129.64472773992952,-171.51931397991052,104,56.588202462746544,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994629021021614,5996,0.0
67,-309.71066406573186,-169.65558890095627,91,66.14099447281806,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994547664741382,6087,0.0
