episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,epsilon,buffer_size,mean_q
1,-100.5340563809809,-100.5340563809809,90,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.995,90,0.0
2,-288.22207482502967,-194.37806560300527,95,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.990025,185,0.06229552626609802
3,-266.78598970006976,-218.51404030202676,116,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.985074875,301,0.0
4,-90.64041429950741,-186.54563380139692,134,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.9801495006250001,435,0.06381296863158543
5,-283.23554686117177,-205.88361641335186,100,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.9752487531218751,535,0.08009887610872586
6,-108.85932905035982,-189.71290185285318,79,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.9703725093562657,614,0.06022641062736511
7,-217.60702915795315,-193.69777718215317,68,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.9655206468094844,682,0.11576819916566213
8,-355.059919926813,-213.86804502523563,99,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.960693043575437,781,0.1078580990433693
9,-272.8516337662803,-220.42177710757394,106,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.9558895783575597,887,0.09729368798434734
10,5.06867028624913,-197.87273236819163,82,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.9511101304657719,969,0.06124207526445389
11,-194.65728242174632,-197.58041873669663,73,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.946354579813443,1042,0.0981540468831857
12,-246.1928178401068,-201.63145199531414,74,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.9416228069143757,1116,0.09613645263016224
13,-156.0997306073686,-198.1290118885491,115,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.9369146928798039,1231,0.0762583427131176
14,-91.53451885393979,-190.51511952893415,118,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.9322301194154049,1349,0.0760124757885933
15,-113.88959158289892,-185.40675099919847,100,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.9275689688183278,1449,0.07045164331793785
16,-115.14367261333793,-181.0153086000822,118,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.9229311239742362,1567,0.07463393515596788
17,-198.64107483940546,-182.0521183788659,101,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.918316468354365,1668,0.0716168037192388
18,-125.66685652775104,-178.91960383158175,98,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.9137248860125932,1766,0.0635535384217898
19,-136.85923289001175,-176.70590009781492,60,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.9091562615825302,1826,0.08410215377807617
20,-369.33409396221543,-186.33730979103493,66,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.9046104802746175,1892,0.0707075937340657
21,-133.67324000899413,-183.82949694427109,72,0.0,0.0003,1,dqn_learning_rate_low_seed1,0.9000874278732445,1964,0.06656829374177116
22,-122.21599027613166,-181.0288830048102,94,120.35149687427585,0.0003,1,dqn_learning_rate_low_seed1,0.8955869907338783,2058,-0.020843534419933956
23,-96.33114485744188,-177.3463726505768,62,110.58217182467061,0.0003,1,dqn_learning_rate_low_seed1,0.8911090557802088,2120,-0.2589286267757416
24,-486.4390730756862,-190.2252351682897,121,118.4868152121867,0.0003,1,dqn_learning_rate_low_seed1,0.8866535105013078,2241,-1.10420161485672
25,-264.97761874899516,-193.2153305115179,99,93.22610843783677,0.0003,1,dqn_learning_rate_low_seed1,0.8822202429488013,2340,-0.817224304784428
26,-370.06030110731933,-200.01706014981795,106,97.91751900483978,0.0003,1,dqn_learning_rate_low_seed1,0.8778091417340573,2446,-1.1821050535548816
27,37.39155371593438,-191.22414852516044,69,86.04946024521537,0.0003,1,dqn_learning_rate_low_seed1,0.8734200960253871,2515,-1.0548789650201797
28,-217.185244085522,-192.15133050945906,115,89.74313078755918,0.0003,1,dqn_learning_rate_low_seed1,0.8690529955452602,2630,-1.9641797641913097
29,-144.4609341267712,-190.50683408246982,98,74.95455720473309,0.0003,1,dqn_learning_rate_low_seed1,0.8647077305675338,2728,-2.2442192872365316
30,-73.53886069133898,-186.6079016360988,82,81.02319917446229,0.0003,1,dqn_learning_rate_low_seed1,0.8603841919146962,2810,-0.931500571851547
31,-229.72554113992103,-187.9987932329963,128,64.15097474027425,0.0003,1,dqn_learning_rate_low_seed1,0.8560822709551227,2938,-3.3577759792407353
32,-139.62306981608316,-186.48705187621778,75,66.40313355763753,0.0003,1,dqn_learning_rate_low_seed1,0.851801859600347,3013,-2.426118411801078
33,-222.2916511447129,-187.57203973283885,80,57.27442525327206,0.0003,1,dqn_learning_rate_low_seed1,0.8475428503023453,3093,-1.5613075548952275
34,-73.4858216463909,-184.21656273029626,75,58.81361984888713,0.0003,1,dqn_learning_rate_low_seed1,0.8433051360508336,3168,-1.6105466802914938
35,-197.6305800806556,-184.59982036887794,154,57.39400466231557,0.0003,1,dqn_learning_rate_low_seed1,0.8390886103705794,3322,-0.8606931865215302
36,-383.0693106053946,-190.11286176433677,98,60.4301273287559,0.0003,1,dqn_learning_rate_low_seed1,0.8348931673187264,3420,-14.140123148759207
37,-196.3161452466154,-190.28051807466863,101,53.03818445866651,0.0003,1,dqn_learning_rate_low_seed1,0.8307187014821328,3521,-0.13246414065361023
38,-121.87031912508166,-188.48024968125844,90,50.80135330359141,0.0003,1,dqn_learning_rate_low_seed1,0.8265651079747222,3611,2.4883015990257262
39,-35.67295836562879,-184.5621140064987,70,41.62742178780692,0.0003,1,dqn_learning_rate_low_seed1,0.8224322824348486,3681,6.793019199371338
40,-95.37793442596269,-182.3325095169853,96,44.8795790274938,0.0003,1,dqn_learning_rate_low_seed1,0.8183201210226743,3777,6.0561938881874084
41,-101.25412692521627,-180.3549879903568,126,42.50729174084134,0.0003,1,dqn_learning_rate_low_seed1,0.8142285204175609,3903,-0.7373825865797698
42,-178.08566960230308,-180.30095660016502,100,39.018161511421205,0.0003,1,dqn_learning_rate_low_seed1,0.810157377815473,4003,-1.4654923280080159
43,-142.78342383366024,-179.42845583815327,105,42.362150664556594,0.0003,1,dqn_learning_rate_low_seed1,0.8061065909263957,4108,-2.2868051335215567
44,-84.38443514210806,-177.26836445869773,104,41.132919921324806,0.0003,1,dqn_learning_rate_low_seed1,0.8020760579717637,4212,3.5492010792096456
45,-223.25339037948407,-178.29025392360407,97,48.537712719022615,0.0003,1,dqn_learning_rate_low_seed1,0.798065677681905,4309,-9.756747534871101
46,-65.50512597664489,-175.8384033160615,118,44.27004801418822,0.0003,1,dqn_learning_rate_low_seed1,0.7940753492934954,4427,6.320289206504822
47,-303.2808561999126,-178.54994486678171,83,53.986526854066966,0.0003,1,dqn_learning_rate_low_seed1,0.7901049725470279,4510,-27.847844199700788
48,-10.568628128372623,-175.0503341013982,136,47.28859191694681,0.0003,1,dqn_learning_rate_low_seed1,0.7861544476842928,4646,6.947055685169556
49,-77.22737712686774,-173.05394722436696,76,42.41802158481196,0.0003,1,dqn_learning_rate_low_seed1,0.7822236754458713,4722,3.042673323303461
50,-130.27082074668763,-172.19828469481337,138,46.86658987791642,0.0003,1,dqn_learning_rate_low_seed1,0.778312557068642,4860,6.1098051992329685
51,-81.84578498367875,-171.82451926686736,74,53.09658069546158,0.0003,1,dqn_learning_rate_low_seed1,0.7744209942832988,4934,0.022595439638410295
52,-143.89706145584915,-168.93801899948375,103,59.96654192452292,0.0003,1,dqn_learning_rate_low_seed1,0.7705488893118823,5037,3.0562915205955505
53,-98.11838684121047,-165.56466694230653,81,39.906148486667206,0.0003,1,dqn_learning_rate_low_seed1,0.7666961448653229,5118,3.4643718699614205
54,-120.4080528473157,-166.1600197132627,95,55.681554967478704,0.0003,1,dqn_learning_rate_low_seed1,0.7628626641409962,5213,8.239191387010658
55,-95.95655455234346,-162.41443986708617,75,42.59041795412699,0.0003,1,dqn_learning_rate_low_seed1,0.7590483508202912,5288,-1.8182432055473328
56,-361.7084573597574,-167.47142243327414,115,49.56483150254125,0.0003,1,dqn_learning_rate_low_seed1,0.7552531090661897,5403,-16.119014723971485
