episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,return_mean,return_std,grad_norm,value_loss,adv_mean,adv_std
1,-257.68124290700393,-257.68124290700393,91,-46.828086853027344,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,-46.828086853027344,1.8470889528998669e-07,1.0,3.1210386753082275,0.9773778319358826,-0.004110726527869701,0.9940928220748901
2,-134.0893022302343,-195.88527256861911,103,84.23958587646484,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,84.23958587646484,2.3147434191628236e-08,1.0,6.240228652954102,0.9880059957504272,0.005706589203327894,0.9988290667533875
3,-118.09980046446114,-169.9567818672331,103,1.2175676822662354,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,1.2175676822662354,-8.101602055887724e-09,1.0,0.06826434284448624,0.9820868968963623,8.284235809696838e-05,0.9958490133285522
4,-237.71531539956422,-186.8964152503159,135,-185.7646942138672,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,-185.7646942138672,3.450446683928021e-07,1.0,11.709406852722168,0.989313542842865,-0.007337728515267372,0.998319685459137
5,-315.2205849588822,-212.56124919202915,90,-125.87667083740234,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,-125.87667083740234,-7.205539418464468e-07,1.0,13.908463478088379,0.9598628282546997,-0.01125006191432476,0.985149621963501
6,-102.79820379176145,-194.26740829198454,86,49.848968505859375,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,49.848968505859375,2.77230913781068e-08,0.9999999403953552,4.143341541290283,0.9850286245346069,0.00486234575510025,0.9982951879501343
7,-233.53397777875685,-199.8769182186663,70,-50.868186950683594,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,-50.868186950683594,-6.062643933546497e-07,1.0,3.8625094890594482,0.9659953713417053,-0.007516542449593544,0.9899181723594666
8,-413.0769081320701,-226.5269169578418,91,-255.02047729492188,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,-255.02047729492188,-1.2837924145969737e-07,0.9999999403953552,27.82708168029785,0.9396728873252869,-0.02232005074620247,0.9744793772697449
9,-142.3047783394417,-217.16890155579733,107,150.7177734375,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,150.7177734375,8.088405820672051e-07,1.0,7.860048770904541,0.9915518164634705,0.009516743943095207,1.0004072189331055
10,-86.77713253347669,-204.12972465356526,69,42.813438415527344,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,42.813438415527344,0.0,1.0,8.761087417602539,0.9839244484901428,0.0065212552435696125,0.9991750121116638
11,-76.97606895255925,-192.57030140801925,74,63.75312805175781,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,63.75312805175781,1.3773505713743361e-07,1.0,4.077637195587158,0.9787599444389343,0.008400887250900269,0.9960402250289917
12,-182.4996339701338,-191.73107912152878,76,-55.76539993286133,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,-55.76539993286133,-1.9069565269091981e-06,1.0,4.160539627075195,0.98049396276474,-0.006946858484297991,0.9967538714408875
13,-110.10882114922117,-185.45244389288976,99,33.95119094848633,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,33.95119094848633,2.2336689653457142e-07,1.0,3.092153549194336,0.9895479679107666,0.0025117481127381325,0.9998195171356201
14,-302.3872880461412,-193.80493276097914,132,-49.84796905517578,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,-49.84796905517578,4.5064723508403404e-07,1.0,3.334789514541626,0.9761466979980469,-0.002076897071674466,0.9917629957199097
15,-372.0009364442288,-205.68466633986245,97,-268.59613037109375,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,-268.59613037109375,2.740584648108779e-07,1.0,20.516992568969727,0.9592897295951843,-0.02066989243030548,0.9843020439147949
16,-199.02894264926323,-205.2686836092,112,-109.52017211914062,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,-109.52017211914062,-1.3943228793777962e-07,1.0,7.179986953735352,1.0082777738571167,-0.006284215487539768,1.0086236000061035
17,-163.34377915109573,-202.80251275872328,121,-425.3369140625,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,-425.3369140625,-3.300422335428266e-08,1.0,16.81678009033203,0.9867925643920898,-0.021017935127019882,0.9972814917564392
18,-293.8749115646499,-207.86209047016365,104,-90.77508544921875,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,-90.77508544921875,-3.943076478662988e-07,1.0,7.329923152923584,0.9782130718231201,-0.006076679565012455,0.9938173890113831
19,-68.09893242645339,-200.50613478365258,66,65.08274841308594,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,65.08274841308594,-3.341472520901334e-08,0.9999999403953552,11.87001895904541,0.9793821573257446,0.010760260745882988,0.9971619844436646
20,-175.8613152854201,-199.27389380874098,69,-215.7411346435547,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,-215.7411346435547,-4.5264977188708144e-07,1.0,8.35981559753418,0.9633392095565796,-0.03270118683576584,0.9881401062011719
21,-110.52654926534406,-195.04782978286488,78,81.53340148925781,0.0005,1,reinforce_gamma99_hidden64_baseline_vslow_ep2000_seed1,81.53340148925781,5.5019672373646245e-08,1.0,4.8889360427856445,0.9833053350448608,0.009667287580668926,0.9979884624481201
