episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,return_mean,return_std,grad_norm
1,-132.78085408055188,-132.78085408055188,100,0.0052525997161865234,0.0005,1,reinforce_gamma_high_seed1,0.0052525997161865234,3.8027764048820245e-07,1.0,0.0006798894610255957
2,-217.3421300626134,-175.06149207158262,92,0.00035858154296875,0.0005,1,reinforce_gamma_high_seed1,0.00035858154296875,3.174595164523453e-08,0.9999999403953552,5.467976370709948e-05
3,-238.3727516991966,-196.1652452807873,105,0.004190206527709961,0.0005,1,reinforce_gamma_high_seed1,0.004190206527709961,2.7361369348000153e-07,1.0,0.0005360091454349458
4,-325.4139796503694,-228.47742887318282,133,0.0021260976791381836,0.0005,1,reinforce_gamma_high_seed1,0.0021260976791381836,8.290871988947401e-08,1.0,0.00017657004354987293
5,-247.65342711619965,-232.3126285217862,130,0.016937255859375,0.0005,1,reinforce_gamma_high_seed1,0.016937255859375,7.299276489902695e-07,1.0,0.0024439229164272547
6,-270.4087221286774,-238.6619774562681,107,0.0020973682403564453,0.0005,1,reinforce_gamma_high_seed1,0.0020973682403564453,1.3090739514609595e-07,1.0,0.00028195654158480465
7,-183.1164669087953,-230.72690452091481,65,-0.0006313323974609375,0.0005,1,reinforce_gamma_high_seed1,-0.0006313323974609375,-1.0637136682589698e-07,1.0,0.000155122164869681
8,-383.7708021145321,-249.85739172011696,90,-0.000782012939453125,0.0005,1,reinforce_gamma_high_seed1,-0.000782012939453125,-6.622738624173508e-08,1.0,0.00021777972870040685
9,-408.5999239523008,-267.4954508570263,90,-0.000377655029296875,0.0005,1,reinforce_gamma_high_seed1,-0.000377655029296875,-4.039870304950455e-08,1.0,0.0001022183132590726
10,-136.86202549122223,-254.43210832044588,77,-0.004062175750732422,0.0005,1,reinforce_gamma_high_seed1,-0.004062175750732422,-4.95415235945984e-07,1.0,0.0003752088232431561
11,-174.77424561214698,-247.19048443787324,65,-0.005397796630859375,0.0005,1,reinforce_gamma_high_seed1,-0.005397796630859375,-9.206625009028357e-07,0.9999999403953552,0.0013495510211214423
12,-17.78247025520494,-228.0731499226509,81,-1.621246337890625e-05,0.0005,1,reinforce_gamma_high_seed1,-1.621246337890625e-05,-5.886878540195539e-09,1.0,6.526102424686542e-06
13,-85.1955717152085,-217.08256698361686,99,-0.005036354064941406,0.0005,1,reinforce_gamma_high_seed1,-0.005036354064941406,-3.7087335158503265e-07,1.0,0.0005015848437324166
14,-392.14820223775564,-229.58725521605535,122,0.008571624755859375,0.0005,1,reinforce_gamma_high_seed1,0.008571624755859375,4.2358382756901847e-07,1.0,0.0007258454570546746
15,-173.7884380452978,-225.86733407133818,106,-0.0017566680908203125,0.0005,1,reinforce_gamma_high_seed1,-0.0017566680908203125,-1.1752236872553112e-07,0.9999999403953552,0.0002936910605058074
16,-293.15899058065196,-230.07306260317029,121,-0.0094757080078125,0.0005,1,reinforce_gamma_high_seed1,-0.0094757080078125,-4.758519480674295e-07,0.9999999403953552,0.0015153831336647272
17,-513.3791174861548,-246.73812465511054,98,0.0001220703125,0.0005,1,reinforce_gamma_high_seed1,0.0001220703125,1.338063437827941e-08,1.0,4.90026650368236e-05
18,-192.51429980940242,-243.72568994146008,93,0.0010695457458496094,0.0005,1,reinforce_gamma_high_seed1,0.0010695457458496094,1.0062289845791383e-07,1.0,0.00012350296310614794
19,-143.31564242446788,-238.4409505984605,68,0.005859375,0.0005,1,reinforce_gamma_high_seed1,0.005859375,9.133535172622942e-07,1.0,0.0008107094326987863
20,-126.85938997354975,-232.86187256721496,74,0.0054111480712890625,0.0005,1,reinforce_gamma_high_seed1,0.0054111480712890625,6.975354267524381e-07,1.0,0.0009847108740359545
21,-119.65980321806512,-227.47129783630308,87,-0.0036661624908447266,0.0005,1,reinforce_gamma_high_seed1,-0.0036661624908447266,-3.4529585946074803e-07,1.0,0.0005960359703749418
22,-109.60216773917264,-222.11361010461533,100,0.00506591796875,0.0005,1,reinforce_gamma_high_seed1,0.00506591796875,3.659725109628198e-07,1.0,0.0005413899198174477
23,-160.0936440213828,-219.41708984012695,56,-0.00075531005859375,0.0005,1,reinforce_gamma_high_seed1,-0.00075531005859375,-1.7881393432617188e-07,1.0,0.0002217077708337456
24,-330.4009697558712,-224.04141816994965,99,0.0007541179656982422,0.0005,1,reinforce_gamma_high_seed1,0.0007541179656982422,5.659430968307788e-08,0.9999999403953552,0.0001671209465712309
25,-380.9775664598854,-230.3188641015471,86,0.0032405853271484375,0.0005,1,reinforce_gamma_high_seed1,0.0032405853271484375,3.2297401730829733e-07,1.0,0.00040043899207375944
26,-331.9556430880832,-234.22797098564462,108,-0.0039215087890625,0.0005,1,reinforce_gamma_high_seed1,-0.0039215087890625,-2.472488915827853e-07,0.9999999403953552,0.0003897165006492287
27,-102.66611388627905,-229.35530961159404,64,-0.001220703125,0.0005,1,reinforce_gamma_high_seed1,-0.001220703125,-2.1047890186309814e-07,0.9999999403953552,0.0001750374212861061
28,-192.90532614837133,-228.0535244879075,111,-0.004700899124145508,0.0005,1,reinforce_gamma_high_seed1,-0.004700899124145508,-2.6848940137824684e-07,1.0,0.0003069817030336708
29,-206.46065714230386,-227.3089428553005,79,0.0016069412231445312,0.0005,1,reinforce_gamma_high_seed1,0.0016069412231445312,1.9164025388818118e-07,1.0,9.831064380705357e-05
30,-184.67634053337878,-225.88785611123643,61,0.0008578300476074219,0.0005,1,reinforce_gamma_high_seed1,0.0008578300476074219,1.7295118936999643e-07,1.0,0.00020708562806248665
31,-232.90568923616448,-226.11423782494379,117,0.004889726638793945,0.0005,1,reinforce_gamma_high_seed1,0.004889726638793945,2.557395930580242e-07,1.0,0.00045425150892697275
32,-135.4510506708119,-223.28101322637715,77,0.00033861398696899414,0.0005,1,reinforce_gamma_high_seed1,0.00033861398696899414,5.225082588822261e-08,1.0,4.0177379560191184e-05
33,-364.6965176725117,-227.5663315429267,66,-0.0027828216552734375,0.0005,1,reinforce_gamma_high_seed1,-0.0027828216552734375,-4.7322475893452065e-07,0.9999999403953552,0.0009246134432032704
34,-252.26839251045877,-228.29286274785412,69,-0.00040590763092041016,0.0005,1,reinforce_gamma_high_seed1,-0.00040590763092041016,-5.5285468647525704e-08,0.9999999403953552,4.71617495350074e-05
35,-567.1687166098177,-237.97503000105306,121,-0.006791591644287109,0.0005,1,reinforce_gamma_high_seed1,-0.006791591644287109,-3.3004224064825394e-07,1.0,0.0013431081315502524
36,-76.35609093855055,-233.48561502709467,78,0.002094268798828125,0.0005,1,reinforce_gamma_high_seed1,0.002094268798828125,2.5446598783673835e-07,1.0,0.00023313701967708766
37,-335.4134721072799,-236.2404219752078,91,0.002939939498901367,0.0005,1,reinforce_gamma_high_seed1,0.002939939498901367,2.547934911945049e-07,1.0,0.000304453686112538
