episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,return_mean,return_std,grad_norm,value_loss,adv_mean,adv_std
1,-237.84238409621983,-237.84238409621983,105,-162.23086547851562,0.0005,1,reinforce_gamma_low_baseline_seed1,-162.23086547851562,1.1920928955078125e-07,1.0,14.401853561401367,1.0002892017364502,-0.010584785602986813,1.004885196685791
2,-121.67244521584301,-179.75741465603141,91,139.0803680419922,0.0005,1,reinforce_gamma_low_baseline_seed1,139.0803680419922,-9.824941749059235e-09,0.9999999403953552,14.665879249572754,0.9762117266654968,0.01209296379238367,0.9934337139129639
3,-72.80199248543829,-144.1056072658337,117,-21.2908935546875,0.0005,1,reinforce_gamma_low_baseline_seed1,-21.2908935546875,-1.9358774139277557e-08,1.0,1.7243165969848633,0.974312424659729,-0.001119923428632319,0.9913175702095032
4,-331.63921911473363,-190.9890102280587,109,-256.59515380859375,0.0005,1,reinforce_gamma_low_baseline_seed1,-256.59515380859375,-5.030850758203087e-08,1.0,30.85123634338379,0.9064894914627075,-0.015507733449339867,0.9563682675361633
5,-397.55813761245474,-232.30283570493788,87,-143.71011352539062,0.0005,1,reinforce_gamma_low_baseline_seed1,-143.71011352539062,-2.404739234407316e-07,1.0,25.57707977294922,0.8950320482254028,-0.013588705100119114,0.9514476656913757
6,-306.43604187966343,-244.65837006739216,92,528.8922119140625,0.0005,1,reinforce_gamma_low_baseline_seed1,528.8922119140625,-6.737916180554748e-08,1.0,138.61923217773438,0.970859706401825,0.046047281473875046,0.9896387457847595
7,-144.84652761483258,-230.39953543131222,69,338.1144104003906,0.0005,1,reinforce_gamma_low_baseline_seed1,338.1144104003906,-3.109807522605479e-08,0.9999999403953552,48.66697311401367,0.9222174882888794,0.05185757949948311,0.9659455418586731
8,-300.1550698056172,-239.11897722810033,94,237.13613891601562,0.0005,1,reinforce_gamma_low_baseline_seed1,237.13613891601562,-1.4964570027586888e-07,1.0,16.777830123901367,0.8472606539726257,0.01937294378876686,0.9251981377601624
9,-109.92153029994354,-224.76370534719405,120,-464.0160217285156,0.0005,1,reinforce_gamma_low_baseline_seed1,-464.0160217285156,-3.1789145538141383e-08,0.9999999403953552,57.2221794128418,0.8854702115058899,-0.02308695949614048,0.9446552991867065
10,-60.984674380133455,-208.38580225048796,76,247.79981994628906,0.0005,1,reinforce_gamma_low_baseline_seed1,247.79981994628906,8.626988012849779e-09,1.0,50.041927337646484,0.9372477531433105,0.030995167791843414,0.9740486741065979
11,-278.7498577262528,-214.7825345664666,92,1200.277099609375,0.0005,1,reinforce_gamma_low_baseline_seed1,1200.277099609375,2.8506569549335836e-08,1.0,283.9004821777344,0.8839225172996521,0.10591621696949005,0.9393052458763123
12,-103.89566440884312,-205.5419620533313,71,116.3294448852539,0.0005,1,reinforce_gamma_low_baseline_seed1,116.3294448852539,-3.358008093812259e-09,1.0,17.823354721069336,0.8743826150894165,0.016983618959784508,0.9415844082832336
13,-149.9136333847433,-201.26285984805529,92,-471.17816162109375,0.0005,1,reinforce_gamma_low_baseline_seed1,-471.17816162109375,-1.1402627819734334e-07,1.0,54.04511642456055,0.8391645550727844,-0.04091223329305649,0.9201597571372986
14,-255.38802345180338,-205.12894296260873,134,-1113.260498046875,0.0005,1,reinforce_gamma_low_baseline_seed1,-1113.260498046875,-1.1565080448860954e-08,1.0,106.77509307861328,0.720988392829895,-0.04466189071536064,0.8511167168617249
15,-233.8703343219738,-207.04503571989974,98,678.666748046875,0.0005,1,reinforce_gamma_low_baseline_seed1,678.666748046875,-9.123160005231057e-09,1.0,74.85726928710938,0.7249132990837097,0.05194815993309021,0.8542015552520752
16,-329.044544659813,-214.6700050286443,108,-981.2387084960938,0.0005,1,reinforce_gamma_low_baseline_seed1,-981.2387084960938,6.457170087514896e-08,1.0,248.9313201904297,0.7017292380332947,-0.059976086020469666,0.8394383788108826
17,-439.0185041332681,-227.86697556421043,105,-1989.541015625,0.0005,1,reinforce_gamma_low_baseline_seed1,-1989.541015625,4.314241053293699e-08,0.9999999403953552,190.11773681640625,0.7367929816246033,-0.13127657771110535,0.8523370027542114
18,-218.41446242473916,-227.3418359453509,94,-885.2412109375,0.0005,1,reinforce_gamma_low_baseline_seed1,-885.2412109375,-2.346140348663539e-08,1.0,129.58192443847656,0.8063977956771851,-0.0728091225028038,0.8998391628265381
19,-92.52701752657009,-220.24631918646773,64,440.23162841796875,0.0005,1,reinforce_gamma_low_baseline_seed1,440.23162841796875,-1.862645149230957e-08,1.0,60.979129791259766,0.8031903505325317,0.07994264364242554,0.8996928334236145
20,-134.02979437328852,-215.93549294580876,72,80.87646484375,0.0005,1,reinforce_gamma_low_baseline_seed1,80.87646484375,-4.3047798214956856e-08,1.0,11.526453971862793,0.7495787143707275,0.011242157779633999,0.8717843890190125
21,-107.68154396016163,-210.78054299411127,67,353.0570373535156,0.0005,1,reinforce_gamma_low_baseline_seed1,353.0570373535156,4.6260321795443815e-08,0.9999999403953552,68.76055145263672,0.7952839732170105,0.0589083731174469,0.8965550661087036
22,-16.728087989196453,-201.95997685752425,111,1383.9842529296875,0.0005,1,reinforce_gamma_low_baseline_seed1,1383.9842529296875,-2.1479151790515516e-09,1.0,50.17430114746094,1.257816195487976,0.08241407573223114,1.1235644817352295
23,-85.56313153924961,-196.89924445238185,62,453.309326171875,0.0005,1,reinforce_gamma_low_baseline_seed1,453.309326171875,5.5759183936743284e-08,1.0,99.16929626464844,0.6723010540008545,0.08447401225566864,0.8222345113754272
24,-136.22229623637048,-194.3710382767147,101,-802.7335815429688,0.0005,1,reinforce_gamma_low_baseline_seed1,-802.7335815429688,1.888463962984588e-08,0.9999999403953552,86.22892761230469,0.6521822214126587,-0.057123251259326935,0.8095729351043701
25,-272.76281217826687,-197.5067092327768,95,248.1968994140625,0.0005,1,reinforce_gamma_low_baseline_seed1,248.1968994140625,-9.913193821375899e-08,1.0,46.43976974487305,0.5529786944389343,0.019488979130983353,0.7473135590553284
26,-398.4325415243413,-205.23462585937543,97,-1390.2476806640625,0.0005,1,reinforce_gamma_low_baseline_seed1,-1390.2476806640625,1.8188633532645326e-07,0.9999999403953552,293.739990234375,0.5836263298988342,-0.10930126160383224,0.760022759437561
27,-89.94364248801787,-200.96458943821403,67,550.7832641601562,0.0005,1,reinforce_gamma_low_baseline_seed1,550.7832641601562,3.2915998815497005e-08,1.0,66.33257293701172,0.7080540657043457,0.08850889652967453,0.8431071043014526
28,-175.2046927954333,-200.0445931295433,115,-1202.1328125,0.0005,1,reinforce_gamma_low_baseline_seed1,-1202.1328125,-7.489452968911792e-08,1.0,68.97151947021484,0.5579217672348022,-0.06577640771865845,0.7472960352897644
29,-129.55346317610056,-197.61386451045905,80,574.41943359375,0.0005,1,reinforce_gamma_low_baseline_seed1,574.41943359375,-1.7881394143159923e-08,1.0,61.20524597167969,0.5583086609840393,0.06515276432037354,0.7490509152412415
30,-140.35484653669857,-195.70523057800037,68,180.88352966308594,0.0005,1,reinforce_gamma_low_baseline_seed1,180.88352966308594,1.4024622352337701e-08,1.0,25.957321166992188,0.6280121803283691,0.02875771000981331,0.7978383898735046
31,-89.80180899619538,-192.28899117213572,108,-1707.59765625,0.0005,1,reinforce_gamma_low_baseline_seed1,-1707.59765625,-1.1037896818777426e-08,1.0,155.5139617919922,0.6899806261062622,-0.10720189660787582,0.8275442123413086
32,-28.893744596395777,-187.18288971664384,74,734.2716064453125,0.0005,1,reinforce_gamma_low_baseline_seed1,734.2716064453125,-1.6109362732663612e-08,1.0,214.19097900390625,1.3412054777145386,0.10390732437372208,1.1613068580627441
33,-129.15851522110268,-185.4245753379911,63,549.7603759765625,0.0005,1,reinforce_gamma_low_baseline_seed1,549.7603759765625,-6.24429645768032e-08,1.0,200.11009216308594,0.5553810596466064,0.10584756731987,0.7436090707778931
34,-330.5497558656815,-189.69296300057022,66,309.7563781738281,0.0005,1,reinforce_gamma_low_baseline_seed1,309.7563781738281,5.779844514108845e-08,1.0,88.88823699951172,0.4323205053806305,0.05141520872712135,0.6605205535888672
35,-199.57600120851671,-189.97533552079724,114,-1451.7860107421875,0.0005,1,reinforce_gamma_low_baseline_seed1,-1451.7860107421875,7.947286206899662e-08,0.9999999403953552,255.1690216064453,0.4249981641769409,-0.08380516618490219,0.6493641138076782
36,-124.0054739919874,-188.14283936721918,61,325.3861083984375,0.0005,1,reinforce_gamma_low_baseline_seed1,325.3861083984375,9.478115714500746e-08,0.9999999403953552,58.73252487182617,0.5535950064659119,0.06491447240114212,0.7473536729812622
37,-247.56865373751353,-189.74894245830825,92,-48.55088806152344,0.0005,1,reinforce_gamma_low_baseline_seed1,-48.55088806152344,4.9886494934980874e-08,1.0,6.806598663330078,0.40872666239738464,-0.004239748232066631,0.6428062915802002
38,-145.05258029863558,-188.57272240147472,74,690.6478271484375,0.0005,1,reinforce_gamma_low_baseline_seed1,690.6478271484375,-4.631441896663091e-08,1.0,113.37752532958984,0.5444328784942627,0.09432408213615417,0.7367984056472778
39,-91.11964337294367,-186.07392550330727,64,608.512939453125,0.0005,1,reinforce_gamma_low_baseline_seed1,608.512939453125,2.2351741790771484e-08,1.0,22.58847427368164,0.5916947722434998,0.10842448472976685,0.7675573229789734
40,-80.10178068205275,-183.4246218827759,82,-272.4346008300781,0.0005,1,reinforce_gamma_low_baseline_seed1,-272.4346008300781,-4.361315308898384e-09,0.9999999403953552,16.251760482788086,0.6309784650802612,-0.029610412195324898,0.7986743450164795
41,-120.4653312397119,-181.88902942806703,99,-1453.82666015625,0.0005,1,reinforce_gamma_low_baseline_seed1,-1453.82666015625,2.4082684735304838e-09,1.0,246.4530792236328,0.7343250513076782,-0.11133556813001633,0.8539882898330688
42,-133.2141217657197,-180.73010305515402,79,319.28692626953125,0.0005,1,reinforce_gamma_low_baseline_seed1,319.28692626953125,6.48860662977313e-08,0.9999999403953552,19.89490509033203,0.5086709856987,0.03778289258480072,0.7167611718177795
43,-151.2206438906723,-180.04383656295676,128,-4945.85693359375,0.0005,1,reinforce_gamma_low_baseline_seed1,-4945.85693359375,-4.0978193283081055e-08,1.0,510.4090881347656,0.4670514464378357,-0.21572089195251465,0.6510200500488281
44,-178.5768415374954,-180.01049576692355,101,-1060.517822265625,0.0005,1,reinforce_gamma_low_baseline_seed1,-1060.517822265625,-3.894956890349022e-08,1.0,232.45980834960938,0.44262808561325073,-0.0741739422082901,0.664452850818634
45,-80.3035217157023,-177.79478523245194,60,930.091796875,0.0005,1,reinforce_gamma_low_baseline_seed1,930.091796875,-1.4901161193847656e-08,1.0,115.03386688232422,0.48033803701400757,0.1886027306318283,0.6725366115570068
