episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,return_mean,return_std,grad_norm
1,-132.78085408055188,-132.78085408055188,100,0.0003662109375,0.0005,1,reinforce_gamma_low_seed1,0.0003662109375,3.814697180359872e-08,0.9999999403953552,6.820208363933489e-05
2,-217.3421300626134,-175.06149207158262,92,-0.000110626220703125,0.0005,1,reinforce_gamma_low_seed1,-0.000110626220703125,-1.2957531714263837e-09,1.0,2.233193754364038e-06
3,-238.3727516991966,-196.1652452807873,105,-0.00016617774963378906,0.0005,1,reinforce_gamma_low_seed1,-0.00016617774963378906,-1.1353265882974029e-08,1.0,2.2007252482580952e-05
4,-319.01422399934506,-226.87748996042674,133,0.0024944543838500977,0.0005,1,reinforce_gamma_low_seed1,0.0024944543838500977,1.1293511903431863e-07,1.0,0.0002316039172001183
5,-160.89906288955166,-213.68180454625173,122,-0.00081634521484375,0.0005,1,reinforce_gamma_low_seed1,-0.00081634521484375,-3.6153636528979405e-08,1.0,8.290754340123385e-05
6,-119.0641893213526,-197.91220200876853,97,5.6743621826171875e-05,0.0005,1,reinforce_gamma_low_seed1,5.6743621826171875e-05,7.3737704830989514e-09,1.0,1.4400842701434158e-05
7,-203.4189983045126,-198.6988871938748,67,-0.00014078617095947266,0.0005,1,reinforce_gamma_low_seed1,-0.00014078617095947266,-2.1350917478457632e-08,0.9999999403953552,2.462004886183422e-05
8,-519.3429822369219,-238.7793990742557,83,-0.0007781982421875,0.0005,1,reinforce_gamma_low_seed1,-0.0007781982421875,-7.899410547906882e-08,1.0,0.00020399664936121553
9,-119.32366262116,-225.5065394683562,109,0.0005750656127929688,0.0005,1,reinforce_gamma_low_seed1,0.0005750656127929688,4.319969804100765e-08,1.0,0.00010400104656582698
10,-149.7477077691246,-217.93065629843304,79,-0.000732421875,0.0005,1,reinforce_gamma_low_seed1,-0.000732421875,-8.752074620588246e-08,1.0,7.670090417377651e-05
11,-214.4862359655436,-217.61752717726128,66,-0.00045013427734375,0.0005,1,reinforce_gamma_low_seed1,-0.00045013427734375,-7.405425606066274e-08,1.0,0.00012830163177568465
12,-207.82960094989568,-216.80186665831414,83,0.0009236335754394531,0.0005,1,reinforce_gamma_low_seed1,0.0009236335754394531,9.4792930838139e-08,1.0,0.00011142895527882501
13,-186.78960208234338,-214.493230921701,102,0.000583648681640625,0.0005,1,reinforce_gamma_low_seed1,0.000583648681640625,5.49297709540042e-08,1.0,8.320155029650778e-05
