episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,return_mean,return_std,grad_norm,value_loss,adv_mean,adv_std
1,-237.84238409621983,-237.84238409621983,105,-162.21783447265625,0.0005,1,reinforce_gamma_opt_baseline_seed1,-162.21783447265625,9.672982059782953e-07,1.0,14.40069580078125,0.9892204403877258,-0.010583934374153614,0.9993093013763428
2,-121.67244521584301,-179.75741465603141,91,155.63076782226562,0.0005,1,reinforce_gamma_opt_baseline_seed1,155.63076782226562,-4.5587728436657926e-07,1.0,16.411083221435547,1.0052305459976196,0.013531999662518501,1.0080747604370117
3,-72.80199248543829,-144.1056072658337,117,76.57758331298828,0.0005,1,reinforce_gamma_opt_baseline_seed1,76.57758331298828,-3.311369312086754e-08,1.0,6.201912879943848,0.9963270425796509,0.004028070252388716,1.0024468898773193
4,-331.63921911473363,-190.9890102280587,109,-898.5252075195312,0.0005,1,reinforce_gamma_opt_baseline_seed1,-898.5252075195312,-1.7006462371682574e-07,1.0,106.38037109375,0.9099053144454956,-0.05431913584470749,0.9567405581474304
5,-397.55813761245474,-232.30283570493788,87,-836.0211181640625,0.0005,1,reinforce_gamma_opt_baseline_seed1,-836.0211181640625,1.8360971409947524e-07,1.0,149.28402709960938,0.910106897354126,-0.07900212705135345,0.9562299251556396
6,-306.43604187966343,-244.65837006739216,92,-750.42431640625,0.0005,1,reinforce_gamma_opt_baseline_seed1,-750.42431640625,-1.4253284064125182e-07,1.0,200.98291015625,1.0332413911819458,-0.06518059223890305,1.0199512243270874
7,-177.8319679012414,-235.11174118651348,111,-1106.5921630859375,0.0005,1,reinforce_gamma_opt_baseline_seed1,-1106.5921630859375,-2.0942172440641116e-08,1.0,134.20069885253906,1.0000476837158203,-0.06483650952577591,1.0024454593658447
8,-258.0375487351151,-237.97746713008868,99,-1377.626220703125,0.0005,1,reinforce_gamma_opt_baseline_seed1,-1377.626220703125,7.357260187745851e-07,1.0,112.31942749023438,0.9118933081626892,-0.10108744353055954,0.9543978571891785
9,-113.89090775560683,-224.19007164403513,112,140.37921142578125,0.0005,1,reinforce_gamma_opt_baseline_seed1,140.37921142578125,2.4267606590910873e-07,1.0,12.7854642868042,0.9777410626411438,0.008042188361287117,0.9932191371917725
10,-64.14547881573878,-208.1856123612055,79,10.551990509033203,0.0005,1,reinforce_gamma_opt_baseline_seed1,10.551990509033203,1.1770030994284753e-07,0.9999999403953552,2.2982420921325684,0.9837691187858582,0.001230956637300551,0.998188316822052
