episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,return_mean,return_std,grad_norm
1,-132.78085408055188,-132.78085408055188,100,0.002288818359375,0.0005,1,reinforce_gamma_opt_seed1,0.002288818359375,1.6510486489096365e-07,1.0,0.0002951871429104358
2,-217.3421300626134,-175.06149207158262,92,-0.0064239501953125,0.0005,1,reinforce_gamma_opt_seed1,-0.0064239501953125,-5.519908654605388e-07,1.0,0.0009505601483397186
3,-238.3727516991966,-196.1652452807873,105,-0.005024433135986328,0.0005,1,reinforce_gamma_opt_seed1,-0.005024433135986328,-3.2470339306200913e-07,1.0,0.0006143635837361217
4,-357.29951711952003,-236.44881324047049,132,0.00274658203125,0.0005,1,reinforce_gamma_opt_seed1,0.00274658203125,1.1740308991647908e-07,1.0,0.00022637887741439044
5,-117.63435125292543,-212.68592084296148,128,-0.004180908203125,0.0005,1,reinforce_gamma_opt_seed1,-0.004180908203125,-1.9278377294540405e-07,1.0,0.0004751158703584224
6,-89.56820550978566,-192.1663016207655,100,-0.00272369384765625,0.0005,1,reinforce_gamma_opt_seed1,-0.00272369384765625,-1.9371509552001953e-07,1.0,0.00044203735888004303
7,-281.7191147156807,-204.95956063432482,63,-0.0004194974899291992,0.0005,1,reinforce_gamma_opt_seed1,-0.0004194974899291992,-7.379622957159881e-08,1.0,0.00011312157585052773
8,-464.2185818306137,-237.36693828386092,81,-0.0005443096160888672,0.0005,1,reinforce_gamma_opt_seed1,-0.0005443096160888672,-6.622738624173508e-08,1.0,0.00012599975161720067
9,-140.07662901260827,-226.5569039203884,107,-0.0005930662155151367,0.0005,1,reinforce_gamma_opt_seed1,-0.0005930662155151367,-3.843663876068604e-08,1.0,9.466775372857228e-05
10,-154.27058752636327,-219.3282722809859,75,-0.003922224044799805,0.0005,1,reinforce_gamma_opt_seed1,-0.003922224044799805,-5.030631768931926e-07,1.0,0.00027554327971301973
11,-198.0649729323152,-217.39524506747037,67,0.0010786056518554688,0.0005,1,reinforce_gamma_opt_seed1,0.0010786056518554688,1.6013187575936172e-07,1.0,0.0003043912583962083
12,-259.9029451677233,-220.9375534091581,82,-0.003101825714111328,0.0005,1,reinforce_gamma_opt_seed1,-0.003101825714111328,-3.430901642786921e-07,1.0,0.00028632659814320505
13,-116.05636459790404,-212.86976965444626,96,-0.000885009765625,0.0005,1,reinforce_gamma_opt_seed1,-0.000885009765625,-7.450580596923828e-08,1.0,7.41038893465884e-05
14,-205.8514199066327,-212.36845895817387,134,-0.0017557144165039062,0.0005,1,reinforce_gamma_opt_seed1,-0.0017557144165039062,-6.850086009535516e-08,0.9999999403953552,8.877401705831289e-05
15,-299.73169863079966,-218.1926749363489,98,0.011934280395507812,0.0005,1,reinforce_gamma_opt_seed1,0.011934280395507812,8.977189622783044e-07,1.0,0.0015953645342960954
16,-263.18715565759436,-221.00482998142675,108,-0.0047149658203125,0.0005,1,reinforce_gamma_opt_seed1,-0.0047149658203125,-2.93608053425487e-07,1.0,0.0006548796081915498
17,-490.2164348964622,-236.84080674113474,99,0.004210948944091797,0.0005,1,reinforce_gamma_opt_seed1,0.004210948944091797,3.058501079067355e-07,1.0,0.0009781483095139265
18,-89.68145038134311,-228.6652869433685,104,0.000244140625,0.0005,1,reinforce_gamma_opt_seed1,0.000244140625,2.2924863785078742e-08,1.0,3.013036803167779e-05
19,-181.88733777244605,-226.20328961858314,69,0.006939530372619629,0.0005,1,reinforce_gamma_opt_seed1,0.006939530372619629,1.0659729241524474e-06,1.0,0.0008415026240982115
20,-87.43083548124451,-219.26466691171623,71,-0.0006494522094726562,0.0005,1,reinforce_gamma_opt_seed1,-0.0006494522094726562,-8.64687095258887e-08,0.9999999403953552,0.00010739283607108518
21,-113.800272318092,-214.24255288344838,82,0.004993915557861328,0.0005,1,reinforce_gamma_opt_seed1,0.004993915557861328,5.313535780260281e-07,1.0,0.0007888826075941324
22,-241.81271563373014,-215.4957420993703,91,0.010105788707733154,0.0005,1,reinforce_gamma_opt_seed1,0.010105788707733154,8.822797212815203e-07,1.0,0.0012242100201547146
23,51.213449663921665,-203.89969028357498,70,-0.00011229515075683594,0.0005,1,reinforce_gamma_opt_seed1,-0.00011229515075683594,-1.0217939383494468e-08,1.0,1.1744897165044677e-05
24,-253.3759668511734,-205.9612018072249,109,0.0036764144897460938,0.0005,1,reinforce_gamma_opt_seed1,0.0036764144897460938,2.2037313840428396e-07,1.0,0.00064511236269027
25,-307.61779900016234,-210.0274656949424,92,-0.0021209716796875,0.0005,1,reinforce_gamma_opt_seed1,-0.0021209716796875,-1.7881393432617188e-07,1.0,0.00025440752506256104
26,-356.96409883117,-215.67887466172039,109,0.0006806850433349609,0.0005,1,reinforce_gamma_opt_seed1,0.0006806850433349609,4.92148437558626e-08,1.0,8.89873190317303e-05
27,-71.82153504472775,-210.35082504627624,62,7.43865966796875e-05,0.0005,1,reinforce_gamma_opt_seed1,7.43865966796875e-05,2.715856872725908e-08,1.0,2.8839604055974633e-05
28,-154.0355823949228,-208.33956638015644,115,-0.0029507875442504883,0.0005,1,reinforce_gamma_opt_seed1,-0.0029507875442504883,-1.6326490026585816e-07,1.0,0.00024202431086450815
29,-144.25710416163088,-206.12982630365556,82,6.198883056640625e-05,0.0005,1,reinforce_gamma_opt_seed1,6.198883056640625e-05,5.088201415759386e-09,1.0,4.271592842997052e-06
30,-109.9702172443065,-202.9245060016773,64,0.001129150390625,0.0005,1,reinforce_gamma_opt_seed1,0.001129150390625,1.8998980522155762e-07,1.0,0.00021417401148937643
31,-267.38909914725116,-205.0040090063732,116,0.0088958740234375,0.0005,1,reinforce_gamma_opt_seed1,0.0088958740234375,4.747818138639559e-07,1.0,0.0007874693837948143
32,-156.60207665975952,-203.49144862054152,79,-0.002456188201904297,0.0005,1,reinforce_gamma_opt_seed1,-0.002456188201904297,-2.784065031846694e-07,1.0,0.00030960640287958086
33,-184.10309451996682,-202.90392273870594,75,-0.007391452789306641,0.0005,1,reinforce_gamma_opt_seed1,-0.007391452789306641,-9.409586709807627e-07,1.0,0.001231209491379559
34,-297.1296897218291,-205.67526882644484,66,-0.0013484954833984375,0.0005,1,reinforce_gamma_opt_seed1,-0.0013484954833984375,-2.167441692790817e-07,1.0,0.0002575185790192336
35,-208.25801191003984,-205.7490614859761,147,-0.004409909248352051,0.0005,1,reinforce_gamma_opt_seed1,-0.004409909248352051,-1.4637603840128577e-07,1.0,0.0005766572430729866
36,-215.48597219932572,-206.01953122801362,72,0.001552581787109375,0.0005,1,reinforce_gamma_opt_seed1,0.001552581787109375,2.168946764413704e-07,1.0,0.00028908965759910643
37,-444.68447481229674,-212.46993510866992,97,0.0036084651947021484,0.0005,1,reinforce_gamma_opt_seed1,0.0036084651947021484,2.716005553793366e-07,0.9999999403953552,0.00043637436465360224
38,-274.98468101411004,-214.11506000091833,75,-0.004639625549316406,0.0005,1,reinforce_gamma_opt_seed1,-0.004639625549316406,-5.912780807193485e-07,1.0,0.0008715100702829659
39,-67.26970242274444,-210.34979442199082,64,0.0006256103515625,0.0005,1,reinforce_gamma_opt_seed1,0.0006256103515625,1.1362135410308838e-07,0.9999999403953552,6.102081897552125e-05
40,-331.7237272366399,-213.38414274235703,95,0.004520893096923828,0.0005,1,reinforce_gamma_opt_seed1,0.004520893096923828,3.425698480441497e-07,1.0,0.0008201496675610542
41,-104.16732857412431,-210.72031800654648,127,0.001779317855834961,0.0005,1,reinforce_gamma_opt_seed1,0.001779317855834961,6.805255026165469e-08,1.0,0.0001842981146182865
42,-102.3853585144711,-208.14091420911615,83,-0.0013728141784667969,0.0005,1,reinforce_gamma_opt_seed1,-0.0013728141784667969,-1.4506190382235218e-07,1.0,0.00015648519911337644
43,-445.58942314858604,-213.66297255654564,93,0.0012593269348144531,0.0005,1,reinforce_gamma_opt_seed1,0.0012593269348144531,1.16325196586331e-07,1.0,0.00029607280157506466
44,-270.22874557069787,-214.94855830686728,83,-0.0020551681518554688,0.0005,1,reinforce_gamma_opt_seed1,-0.0020551681518554688,-2.140022132834929e-07,0.9999999403953552,0.00036338859354145825
45,-112.38934298505055,-212.66946463304913,64,0.0007171630859375,0.0005,1,reinforce_gamma_opt_seed1,0.0007171630859375,1.2386590242385864e-07,0.9999999403953552,0.000108689273474738
46,-83.9403245836364,-209.87100506675756,137,0.005800962448120117,0.0005,1,reinforce_gamma_opt_seed1,0.005800962448120117,2.1927547777522705e-07,1.0,0.0004512955201789737
47,12.189081953760422,-205.14632236419334,114,0.000247955322265625,0.0005,1,reinforce_gamma_opt_seed1,0.000247955322265625,9.934107758624577e-09,0.9999999403953552,1.6837178918649442e-05
48,-160.16125671239791,-204.2091334964476,109,0.011382579803466797,0.0005,1,reinforce_gamma_opt_seed1,0.011382579803466797,6.955697813282313e-07,1.0,0.0010020318441092968
49,-58.689148767428506,-201.23933788973295,65,-0.00037860870361328125,0.0005,1,reinforce_gamma_opt_seed1,-0.00037860870361328125,-6.235563176915093e-08,0.9999999403953552,4.0835187974153087e-05
50,-366.4073969623971,-204.5426990711862,92,0.00194549560546875,0.0005,1,reinforce_gamma_opt_seed1,0.00194549560546875,1.7687030151591898e-07,1.0,0.00028569181449711323
51,-277.76126933123453,-207.44230737619986,75,0.0029163360595703125,0.0005,1,reinforce_gamma_opt_seed1,0.0029163360595703125,3.6716460272145923e-07,1.0,0.0003366633609402925
52,-109.81547921948598,-205.29177435933732,94,-0.009654998779296875,0.0005,1,reinforce_gamma_opt_seed1,-0.009654998779296875,-7.78664912104432e-07,1.0,0.0011222471948713064
53,-248.23387580965954,-205.48899684154657,69,0.004147529602050781,0.0005,1,reinforce_gamma_opt_seed1,0.004147529602050781,6.305998567768256e-07,1.0,0.00041346391662955284
54,-216.4406962569021,-202.67182042429422,79,0.0028717517852783203,0.0005,1,reinforce_gamma_opt_seed1,0.0028717517852783203,3.4668778425839264e-07,1.0,0.00039455058868043125
55,-168.27367682879458,-203.68460693581162,62,-0.0023736953735351562,0.0005,1,reinforce_gamma_opt_seed1,-0.0023736953735351562,-4.54725750387297e-07,1.0,0.0006956680445000529
56,-309.00157115778177,-208.07327424877153,111,-0.008979320526123047,0.0005,1,reinforce_gamma_opt_seed1,-0.008979320526123047,-5.28387147369358e-07,1.0,0.0007922505610622466
57,-296.2712230049681,-208.3643164145573,84,0.001598358154296875,0.0005,1,reinforce_gamma_opt_seed1,0.001598358154296875,1.6391277313232422e-07,1.0,0.0002169121289625764
58,-151.84878834671565,-202.11692054487932,85,0.005922794342041016,0.0005,1,reinforce_gamma_opt_seed1,0.005922794342041016,5.946440069237724e-07,1.0,0.00043955619912594557
59,-339.05150336647085,-206.09641803195657,107,-0.003580451011657715,0.0005,1,reinforce_gamma_opt_seed1,-0.003580451011657715,-2.3284805195089575e-07,0.9999999403953552,0.000392170186387375
60,-145.3306763144106,-205.91761980771753,113,-0.012155771255493164,0.0005,1,reinforce_gamma_opt_seed1,-0.012155771255493164,-6.857171683805063e-07,1.0,0.0016751596704125404
61,-167.01572847120502,-205.2966349184953,72,-0.0006256103515625,0.0005,1,reinforce_gamma_opt_seed1,-0.0006256103515625,-8.609559642991371e-08,1.0,6.0469581512734294e-05
