episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,return_mean,return_std,grad_norm
1,-323.4885698151526,-323.4885698151526,92,-0.00116729736328125,0.0005,1,reinforce_hidden_size_high_seed1,-0.00116729736328125,-1.0495600832882701e-07,0.9999999403953552,0.0004681897989939898
2,-294.45555358731815,-308.97206170123536,93,0.0006103515625,0.0005,1,reinforce_hidden_size_high_seed1,0.0006103515625,5.127281355044033e-08,1.0,0.00014106901653576642
3,-117.25479334025944,-245.06630558091004,114,0.0072879791259765625,0.0005,1,reinforce_hidden_size_high_seed1,0.0072879791259765625,4.025927751172276e-07,1.0,0.0009629760752432048
4,-350.62539858951016,-271.4560788330601,148,-0.0070648193359375,0.0005,1,reinforce_hidden_size_high_seed1,-0.0070648193359375,-2.3076663069332426e-07,0.9999999403953552,0.0009059557924047112
5,-358.4975275454807,-288.86436857554423,86,-0.001209259033203125,0.0005,1,reinforce_hidden_size_high_seed1,-0.001209259033203125,-1.1227851359763008e-07,1.0,0.00021454830130096525
6,-239.47240928485758,-280.63237536042976,88,0.00606536865234375,0.0005,1,reinforce_hidden_size_high_seed1,0.00606536865234375,5.635347974930482e-07,1.0,0.0007763572502881289
7,-86.91552780835399,-252.95853999584753,69,-0.0014843940734863281,0.0005,1,reinforce_hidden_size_high_seed1,-0.0014843940734863281,-2.2546105071796774e-07,0.9999999403953552,0.00026577329845167696
8,-141.6757601293105,-239.0481925125304,103,-0.00031876564025878906,0.0005,1,reinforce_hidden_size_high_seed1,-0.00031876564025878906,-2.02540046956301e-08,1.0,3.1766572647029534e-05
9,-294.897236354598,-245.25364182831566,106,-0.0072498321533203125,0.0005,1,reinforce_hidden_size_high_seed1,-0.0072498321533203125,-4.723386837213184e-07,1.0,0.0011898338561877608
10,-204.92827133618817,-241.22110477910292,70,-0.0081787109375,0.0005,1,reinforce_hidden_size_high_seed1,-0.0081787109375,-1.2193407883387408e-06,1.0,0.0015437406254932284
11,-113.87139461712479,-229.64385840074127,72,-0.0027618408203125,0.0005,1,reinforce_hidden_size_high_seed1,-0.0027618408203125,-3.8411883451772155e-07,1.0,0.0006086827488616109
12,-249.57319836470245,-231.30463673107138,76,0.0042266845703125,0.0005,1,reinforce_hidden_size_high_seed1,0.0042266845703125,5.368339657252363e-07,1.0,0.0007848574314266443
13,-210.0963068163008,-229.6732267376275,125,-0.011083841323852539,0.0005,1,reinforce_hidden_size_high_seed1,-0.011083841323852539,-5.178451374376891e-07,1.0,0.0016882335767149925
14,-113.45397228650276,-221.37185141969002,126,-0.00487518310546875,0.0005,1,reinforce_hidden_size_high_seed1,-0.00487518310546875,-2.261192122432476e-07,1.0,0.0009350419277325273
15,-487.82067230286526,-239.13510614523503,95,0.0011222362518310547,0.0005,1,reinforce_hidden_size_high_seed1,0.0011222362518310547,9.285776059186901e-08,1.0,0.0003850646608043462
16,-328.40390893472124,-244.7144063195779,103,0.006186485290527344,0.0005,1,reinforce_hidden_size_high_seed1,0.006186485290527344,4.3285703554829524e-07,1.0,0.001527002896182239
17,-169.0946398460585,-240.26618476231207,131,0.014383435249328613,0.0005,1,reinforce_hidden_size_high_seed1,0.014383435249328613,6.106063779043325e-07,0.9999999403953552,0.0026273028925061226
18,-92.76786527188526,-232.0718336795106,109,-0.0008103847503662109,0.0005,1,reinforce_hidden_size_high_seed1,-0.0008103847503662109,-4.92148437558626e-08,1.0,0.00010607841977616772
19,-123.60165238286243,-226.36287676916066,71,-0.002581477165222168,0.0005,1,reinforce_hidden_size_high_seed1,-0.002581477165222168,-3.7022039123257855e-07,1.0,0.0005234686541371047
20,-117.32306792154785,-220.91088632678003,73,0.00027179718017578125,0.0005,1,reinforce_hidden_size_high_seed1,0.00027179718017578125,3.592608877056591e-08,1.0,4.076380355400033e-05
21,-128.70170456045122,-216.51997290933582,74,-0.00208282470703125,0.0005,1,reinforce_hidden_size_high_seed1,-0.00208282470703125,-2.7708105676538253e-07,1.0,0.00032375907176174223
22,-118.71837166279488,-212.0744455799476,102,0.0015888214111328125,0.0005,1,reinforce_hidden_size_high_seed1,0.0015888214111328125,1.0869081989994811e-07,1.0,0.0002452207263559103
23,-61.25040670121826,-205.51687867217674,60,-0.00052642822265625,0.0005,1,reinforce_hidden_size_high_seed1,-0.00052642822265625,-9.288390145911762e-08,1.0,9.840123675530776e-05
24,-553.7511323603289,-220.02663924251644,118,0.008279800415039062,0.0005,1,reinforce_hidden_size_high_seed1,0.008279800415039062,4.3541697891669173e-07,1.0,0.0019795929547399282
25,-137.901380996457,-216.74162891267403,107,-0.0036100149154663086,0.0005,1,reinforce_hidden_size_high_seed1,-0.0036100149154663086,-2.3507625712682056e-07,0.9999999403953552,0.0005014943308196962
26,-132.25798616077617,-213.49225803760103,109,-0.0017347335815429688,0.0005,1,reinforce_hidden_size_high_seed1,-0.0017347335815429688,-1.0663216443163037e-07,1.0,0.00025227846344932914
27,-67.31517987238199,-208.07829217962995,65,-0.0005995035171508789,0.0005,1,reinforce_hidden_size_high_seed1,-0.0005995035171508789,-1.0637136682589698e-07,1.0,9.636433969717473e-05
28,-198.85686363583105,-207.74895544592286,103,-0.012336969375610352,0.0005,1,reinforce_hidden_size_high_seed1,-0.012336969375610352,-8.495108545503172e-07,1.0,0.0017113711219280958
29,-263.7899010425089,-209.68140184580514,89,0.004184722900390625,0.0005,1,reinforce_hidden_size_high_seed1,0.004184722900390625,3.803981769578968e-07,1.0,0.0006460025324486196
30,-74.82665328171917,-205.1862435603356,72,-0.0003204345703125,0.0005,1,reinforce_hidden_size_high_seed1,-0.0003204345703125,-4.470348358154297e-08,0.9999999403953552,4.274621096556075e-05
31,-203.5377988856547,-205.13306792566848,117,-0.01359570026397705,0.0005,1,reinforce_hidden_size_high_seed1,-0.01359570026397705,-7.127085268621158e-07,1.0,0.0017925522988662124
32,-155.24165530649879,-203.57396128131944,68,-0.0008852481842041016,0.0005,1,reinforce_hidden_size_high_seed1,-0.0008852481842041016,-1.4024622885244753e-07,1.0,0.0002960440469905734
33,-83.05783287377703,-199.92195739018177,76,0.00295257568359375,0.0005,1,reinforce_hidden_size_high_seed1,0.00295257568359375,3.60764943252434e-07,1.0,0.000617020356003195
34,-113.77925382859661,-197.38834846189985,70,-0.008649826049804688,0.0005,1,reinforce_hidden_size_high_seed1,-0.008649826049804688,-1.2755393754559918e-06,1.0,0.0011441915994510055
35,-195.08467999568686,-197.32252936286523,124,-0.0036163330078125,0.0005,1,reinforce_hidden_size_high_seed1,-0.0036163330078125,-1.7016164122196642e-07,1.0,0.00043570189154706895
36,-202.58333663548882,-197.46866289821585,72,-0.006702423095703125,0.0005,1,reinforce_hidden_size_high_seed1,-0.006702423095703125,-9.321504421677673e-07,1.0,0.0006103220512159169
37,-223.54759319832453,-198.17349885227284,94,0.009884834289550781,0.0005,1,reinforce_hidden_size_high_seed1,0.009884834289550781,8.255877332885575e-07,1.0,0.002050334122031927
38,-50.16213236109654,-194.27846289197873,103,0.0005483627319335938,0.0005,1,reinforce_hidden_size_high_seed1,0.0005483627319335938,3.124903713569438e-08,1.0,5.938614049227908e-05
39,-32.554877860860856,-190.13170430143725,67,-0.0009877681732177734,0.0005,1,reinforce_hidden_size_high_seed1,-0.0009877681732177734,-1.521252812608509e-07,1.0,0.00020751848933286965
40,-394.25818487259954,-195.23486631571632,82,-0.0033473968505859375,0.0005,1,reinforce_hidden_size_high_seed1,-0.0033473968505859375,-3.6562360605785216e-07,0.9999999403953552,0.0004335683770477772
41,-236.7923846942005,-196.24846432494763,109,0.00407099723815918,0.0005,1,reinforce_hidden_size_high_seed1,0.00407099723815918,2.586513403457502e-07,1.0,0.00045375843183137476
